"","GEOID","NAME","label","estimate","measure_type"
"141","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",14.5,"percent"
"142","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",10.4,"percent"
"143","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",7.3,"percent"
"144","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!College, undergraduate",29.8,"percent"
"145","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Graduate, professional school",38.8,"percent"
"146","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school",30.9,"percent"
"147","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",41.7,"percent"
"148","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",22.2,"percent"
"149","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years",NA,"percent"
"150","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",39.1,"percent"
"151","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years",NA,"percent"
"152","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",17.8,"percent"
"153","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years",NA,"percent"
"154","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",10.7,"percent"
"155","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17",NA,"percent"
"156","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17!!15 to 17 year olds enrolled in school",7.9,"percent"
"157","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years",NA,"percent"
"158","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",0,"percent"
"159","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years",NA,"percent"
"160","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",35.6,"percent"
"161","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years",NA,"percent"
"162","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",15.2,"percent"
"163","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over",NA,"percent"
"164","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over!!35 years and over enrolled in school",36.7,"percent"
"165","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years",NA,"percent"
"166","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Enrolled in college or graduate school",25.2,"percent"
"167","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years",NA,"percent"
"168","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school",43.9,"percent"
"169","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years",NA,"percent"
"170","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school",11.5,"percent"
"171","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school",3.1,"percent"
"172","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Nursery school, preschool",0,"percent"
"173","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",0,"percent"
"174","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten",0,"percent"
"175","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",0,"percent"
"176","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",0,"percent"
"177","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",0,"percent"
"178","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!College, undergraduate",0,"percent"
"179","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Graduate, professional school",36.4,"percent"
"180","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school",20,"percent"
"181","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",0,"percent"
"182","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",44.4,"percent"
"183","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years",NA,"percent"
"184","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",0,"percent"
"185","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years",NA,"percent"
"186","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",0,"percent"
"187","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years",NA,"percent"
"188","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",0,"percent"
"189","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17",NA,"percent"
"190","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17!!15 to 17 year olds enrolled in school",0,"percent"
"191","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years",NA,"percent"
"192","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",0,"percent"
"193","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years",NA,"percent"
"194","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",0,"percent"
"195","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years",NA,"percent"
"196","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",80,"percent"
"197","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over",NA,"percent"
"198","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over!!35 years and over enrolled in school",0,"percent"
"199","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years",NA,"percent"
"200","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Enrolled in college or graduate school",0,"percent"
"201","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years",NA,"percent"
"202","4815420","Coupland Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school",0,"percent"
